"V1" "V2"
"tr_1_pm_1_1.fasta" "465"
"tr_1_pm_1_2.fasta" "417"
"tr_1_pm_1_3.fasta" "424"
"tr_1_pm_1_4.fasta" "441"
"tr_1_pm_1_5.fasta" "449"
"tr_1_pm_1_6.fasta" "439"
"tr_1_pm_1_7.fasta" "433"
"tr_1_pm_1_8.fasta" "439"
"tr_1_pm_1_9.fasta" "423"
"tr_1_pm_1_10.fasta" "406"
"tr_1_pm_1_11.fasta" "409"
"tr_1_pm_1_12.fasta" "409"
"tr_1_pm_1_13.fasta" "436"
"tr_1_pm_1_14.fasta" "448"
"tr_1_pm_1_15.fasta" "464"
"tr_1_pm_1_16.fasta" "438"
"tr_1_pm_1_17.fasta" "425"
"tr_1_pm_1_18.fasta" "427"
"tr_1_pm_1_19.fasta" "409"
"tr_1_pm_1_20.fasta" "419"
"tr_1_pm_1_21.fasta" "417"
"tr_1_pm_1_22.fasta" "436"
"tr_1_pm_1_23.fasta" "438"
"tr_1_pm_1_24.fasta" "435"
"tr_1_pm_1_25.fasta" "437"
"tr_1_pm_1_26.fasta" "429"
"tr_1_pm_1_27.fasta" "418"
"tr_1_pm_1_28.fasta" "430"
"tr_1_pm_1_29.fasta" "431"
"tr_1_pm_1_30.fasta" "431"
"tr_1_pm_1_31.fasta" "416"
"tr_1_pm_1_32.fasta" "423"
"tr_1_pm_1_33.fasta" "425"
"tr_1_pm_1_34.fasta" "405"
"tr_1_pm_1_35.fasta" "432"
"tr_1_pm_1_36.fasta" "430"
"tr_1_pm_1_37.fasta" "435"
"tr_1_pm_1_38.fasta" "407"
"tr_1_pm_1_39.fasta" "403"
"tr_1_pm_1_40.fasta" "426"
"tr_1_pm_1_41.fasta" "427"
"tr_1_pm_1_42.fasta" "436"
"tr_1_pm_1_43.fasta" "431"
"tr_1_pm_1_44.fasta" "408"
"tr_1_pm_1_45.fasta" "419"
"tr_1_pm_1_46.fasta" "443"
"tr_1_pm_1_47.fasta" "404"
"tr_1_pm_1_48.fasta" "420"
"tr_1_pm_1_49.fasta" "454"
"tr_1_pm_1_50.fasta" "431"
"tr_1_pm_2_1.fasta" "589"
"tr_1_pm_2_2.fasta" "559"
"tr_1_pm_2_3.fasta" "549"
"tr_1_pm_2_4.fasta" "574"
"tr_1_pm_2_5.fasta" "568"
"tr_1_pm_2_6.fasta" "599"
"tr_1_pm_2_7.fasta" "551"
"tr_1_pm_2_8.fasta" "580"
"tr_1_pm_2_9.fasta" "565"
"tr_1_pm_2_10.fasta" "550"
"tr_1_pm_2_11.fasta" "585"
"tr_1_pm_2_12.fasta" "554"
"tr_1_pm_2_13.fasta" "578"
"tr_1_pm_2_14.fasta" "553"
"tr_1_pm_2_15.fasta" "561"
"tr_1_pm_2_16.fasta" "571"
"tr_1_pm_2_17.fasta" "557"
"tr_1_pm_2_18.fasta" "553"
"tr_1_pm_2_19.fasta" "581"
"tr_1_pm_2_20.fasta" "587"
"tr_1_pm_2_21.fasta" "576"
"tr_1_pm_2_22.fasta" "550"
"tr_1_pm_2_23.fasta" "591"
"tr_1_pm_2_24.fasta" "580"
"tr_1_pm_2_25.fasta" "583"
"tr_1_pm_2_26.fasta" "575"
"tr_1_pm_2_27.fasta" "558"
"tr_1_pm_2_28.fasta" "590"
"tr_1_pm_2_29.fasta" "543"
"tr_1_pm_2_30.fasta" "607"
"tr_1_pm_2_31.fasta" "572"
"tr_1_pm_2_32.fasta" "577"
"tr_1_pm_2_33.fasta" "575"
"tr_1_pm_2_34.fasta" "575"
"tr_1_pm_2_35.fasta" "592"
"tr_1_pm_2_36.fasta" "562"
"tr_1_pm_2_37.fasta" "573"
"tr_1_pm_2_38.fasta" "586"
"tr_1_pm_2_39.fasta" "587"
"tr_1_pm_2_40.fasta" "587"
"tr_1_pm_3_1.fasta" "798"
"tr_1_pm_3_2.fasta" "814"
"tr_1_pm_3_3.fasta" "804"
"tr_1_pm_3_4.fasta" "803"
"tr_1_pm_3_5.fasta" "822"
"tr_1_pm_3_6.fasta" "803"
"tr_1_pm_3_7.fasta" "784"
"tr_1_pm_3_8.fasta" "804"
"tr_1_pm_3_9.fasta" "783"
"tr_1_pm_3_10.fasta" "803"
"tr_1_pm_3_11.fasta" "815"
