"tr_1_109.fasta" "tr_1_116.fasta" "tr_1_123.fasta" "tr_1_126.fasta" "tr_1_141.fasta" "tr_1_16.fasta" "tr_1_2.fasta" "tr_1_28.fasta" "tr_1_29.fasta" "tr_1_42.fasta" "tr_1_7.fasta" "tr_1_70.fasta" "tr_1_82.fasta" "tr_2_16.fasta" "tr_2_20.fasta" "tr_2_28.fasta" "tr_2_3.fasta" "tr_2_39.fasta" "tr_2_5.fasta" "tr_2_50.fasta" "tr_2_75.fasta" "tr_2_85.fasta" "tr_2_90.fasta" "tr_2_91.fasta" "tr_3_1.fasta" "tr_3_24.fasta" "tr_3_30.fasta" "tr_3_33.fasta" "tr_3_43.fasta" "tr_3_47.fasta" "tr_3_69.fasta" "tr_3_7.fasta" "tr_3_71.fasta" "tr_4_12.fasta" "tr_4_23.fasta" "tr_4_36.fasta" "tr_4_44.fasta" "tr_4_45.fasta" "tr_4_66.fasta" "tr_4_74.fasta" "tr_4_78.fasta" "tr_4_87.fasta" "tr_4_92.fasta" "tr_4_95.fasta" "tr_5_13.fasta" "tr_5_26.fasta" "tr_5_29.fasta" "tr_5_36.fasta" "tr_5_46.fasta" "tr_5_48.fasta"
"tr_1_109.fasta" "tr_1_109.fasta tr_1_109.fasta" "tr_1_109.fasta tr_1_116.fasta" "tr_1_109.fasta tr_1_123.fasta" "tr_1_109.fasta tr_1_126.fasta" "tr_1_109.fasta tr_1_141.fasta" "tr_1_109.fasta tr_1_16.fasta" "tr_1_109.fasta tr_1_2.fasta" "tr_1_109.fasta tr_1_28.fasta" "tr_1_109.fasta tr_1_29.fasta" "tr_1_109.fasta tr_1_42.fasta" "tr_1_109.fasta tr_1_7.fasta" "tr_1_109.fasta tr_1_70.fasta" "tr_1_109.fasta tr_1_82.fasta" "tr_1_109.fasta tr_2_16.fasta" "tr_1_109.fasta tr_2_20.fasta" "tr_1_109.fasta tr_2_28.fasta" "tr_1_109.fasta tr_2_3.fasta" "tr_1_109.fasta tr_2_39.fasta" "tr_1_109.fasta tr_2_5.fasta" "tr_1_109.fasta tr_2_50.fasta" "tr_1_109.fasta tr_2_75.fasta" "tr_1_109.fasta tr_2_85.fasta" "tr_1_109.fasta tr_2_90.fasta" "tr_1_109.fasta tr_2_91.fasta" "tr_1_109.fasta tr_3_1.fasta" "tr_1_109.fasta tr_3_24.fasta" "tr_1_109.fasta tr_3_30.fasta" "tr_1_109.fasta tr_3_33.fasta" "tr_1_109.fasta tr_3_43.fasta" "tr_1_109.fasta tr_3_47.fasta" "tr_1_109.fasta tr_3_69.fasta" "tr_1_109.fasta tr_3_7.fasta" "tr_1_109.fasta tr_3_71.fasta" "tr_1_109.fasta tr_4_12.fasta" "tr_1_109.fasta tr_4_23.fasta" "tr_1_109.fasta tr_4_36.fasta" "tr_1_109.fasta tr_4_44.fasta" "tr_1_109.fasta tr_4_45.fasta" "tr_1_109.fasta tr_4_66.fasta" "tr_1_109.fasta tr_4_74.fasta" "tr_1_109.fasta tr_4_78.fasta" "tr_1_109.fasta tr_4_87.fasta" "tr_1_109.fasta tr_4_92.fasta" "tr_1_109.fasta tr_4_95.fasta" "tr_1_109.fasta tr_5_13.fasta" "tr_1_109.fasta tr_5_26.fasta" "tr_1_109.fasta tr_5_29.fasta" "tr_1_109.fasta tr_5_36.fasta" "tr_1_109.fasta tr_5_46.fasta" "tr_1_109.fasta tr_5_48.fasta"
"tr_1_116.fasta" "0.132275803057183" "tr_1_116.fasta tr_1_116.fasta" "tr_1_116.fasta tr_1_123.fasta" "tr_1_116.fasta tr_1_126.fasta" "tr_1_116.fasta tr_1_141.fasta" "tr_1_116.fasta tr_1_16.fasta" "tr_1_116.fasta tr_1_2.fasta" "tr_1_116.fasta tr_1_28.fasta" "tr_1_116.fasta tr_1_29.fasta" "tr_1_116.fasta tr_1_42.fasta" "tr_1_116.fasta tr_1_7.fasta" "tr_1_116.fasta tr_1_70.fasta" "tr_1_116.fasta tr_1_82.fasta" "tr_1_116.fasta tr_2_16.fasta" "tr_1_116.fasta tr_2_20.fasta" "tr_1_116.fasta tr_2_28.fasta" "tr_1_116.fasta tr_2_3.fasta" "tr_1_116.fasta tr_2_39.fasta" "tr_1_116.fasta tr_2_5.fasta" "tr_1_116.fasta tr_2_50.fasta" "tr_1_116.fasta tr_2_75.fasta" "tr_1_116.fasta tr_2_85.fasta" "tr_1_116.fasta tr_2_90.fasta" "tr_1_116.fasta tr_2_91.fasta" "tr_1_116.fasta tr_3_1.fasta" "tr_1_116.fasta tr_3_24.fasta" "tr_1_116.fasta tr_3_30.fasta" "tr_1_116.fasta tr_3_33.fasta" "tr_1_116.fasta tr_3_43.fasta" "tr_1_116.fasta tr_3_47.fasta" "tr_1_116.fasta tr_3_69.fasta" "tr_1_116.fasta tr_3_7.fasta" "tr_1_116.fasta tr_3_71.fasta" "tr_1_116.fasta tr_4_12.fasta" "tr_1_116.fasta tr_4_23.fasta" "tr_1_116.fasta tr_4_36.fasta" "tr_1_116.fasta tr_4_44.fasta" "tr_1_116.fasta tr_4_45.fasta" "tr_1_116.fasta tr_4_66.fasta" "tr_1_116.fasta tr_4_74.fasta" "tr_1_116.fasta tr_4_78.fasta" "tr_1_116.fasta tr_4_87.fasta" "tr_1_116.fasta tr_4_92.fasta" "tr_1_116.fasta tr_4_95.fasta" "tr_1_116.fasta tr_5_13.fasta" "tr_1_116.fasta tr_5_26.fasta" "tr_1_116.fasta tr_5_29.fasta" "tr_1_116.fasta tr_5_36.fasta" "tr_1_116.fasta tr_5_46.fasta" "tr_1_116.fasta tr_5_48.fasta"
"tr_1_123.fasta" "0.0642423671587863" "0.116551989221861" "tr_1_123.fasta tr_1_123.fasta" "tr_1_123.fasta tr_1_126.fasta" "tr_1_123.fasta tr_1_141.fasta" "tr_1_123.fasta tr_1_16.fasta" "tr_1_123.fasta tr_1_2.fasta" "tr_1_123.fasta tr_1_28.fasta" "tr_1_123.fasta tr_1_29.fasta" "tr_1_123.fasta tr_1_42.fasta" "tr_1_123.fasta tr_1_7.fasta" "tr_1_123.fasta tr_1_70.fasta" "tr_1_123.fasta tr_1_82.fasta" "tr_1_123.fasta tr_2_16.fasta" "tr_1_123.fasta tr_2_20.fasta" "tr_1_123.fasta tr_2_28.fasta" "tr_1_123.fasta tr_2_3.fasta" "tr_1_123.fasta tr_2_39.fasta" "tr_1_123.fasta tr_2_5.fasta" "tr_1_123.fasta tr_2_50.fasta" "tr_1_123.fasta tr_2_75.fasta" "tr_1_123.fasta tr_2_85.fasta" "tr_1_123.fasta tr_2_90.fasta" "tr_1_123.fasta tr_2_91.fasta" "tr_1_123.fasta tr_3_1.fasta" "tr_1_123.fasta tr_3_24.fasta" "tr_1_123.fasta tr_3_30.fasta" "tr_1_123.fasta tr_3_33.fasta" "tr_1_123.fasta tr_3_43.fasta" "tr_1_123.fasta tr_3_47.fasta" "tr_1_123.fasta tr_3_69.fasta" "tr_1_123.fasta tr_3_7.fasta" "tr_1_123.fasta tr_3_71.fasta" "tr_1_123.fasta tr_4_12.fasta" "tr_1_123.fasta tr_4_23.fasta" "tr_1_123.fasta tr_4_36.fasta" "tr_1_123.fasta tr_4_44.fasta" "tr_1_123.fasta tr_4_45.fasta" "tr_1_123.fasta tr_4_66.fasta" "tr_1_123.fasta tr_4_74.fasta" "tr_1_123.fasta tr_4_78.fasta" "tr_1_123.fasta tr_4_87.fasta" "tr_1_123.fasta tr_4_92.fasta" "tr_1_123.fasta tr_4_95.fasta" "tr_1_123.fasta tr_5_13.fasta" "tr_1_123.fasta tr_5_26.fasta" "tr_1_123.fasta tr_5_29.fasta" "tr_1_123.fasta tr_5_36.fasta" "tr_1_123.fasta tr_5_46.fasta" "tr_1_123.fasta tr_5_48.fasta"
"tr_1_126.fasta" "0.0674858052831734" "0.0867972235085334" "0.0783767053594954" "tr_1_126.fasta tr_1_126.fasta" "tr_1_126.fasta tr_1_141.fasta" "tr_1_126.fasta tr_1_16.fasta" "tr_1_126.fasta tr_1_2.fasta" "tr_1_126.fasta tr_1_28.fasta" "tr_1_126.fasta tr_1_29.fasta" "tr_1_126.fasta tr_1_42.fasta" "tr_1_126.fasta tr_1_7.fasta" "tr_1_126.fasta tr_1_70.fasta" "tr_1_126.fasta tr_1_82.fasta" "tr_1_126.fasta tr_2_16.fasta" "tr_1_126.fasta tr_2_20.fasta" "tr_1_126.fasta tr_2_28.fasta" "tr_1_126.fasta tr_2_3.fasta" "tr_1_126.fasta tr_2_39.fasta" "tr_1_126.fasta tr_2_5.fasta" "tr_1_126.fasta tr_2_50.fasta" "tr_1_126.fasta tr_2_75.fasta" "tr_1_126.fasta tr_2_85.fasta" "tr_1_126.fasta tr_2_90.fasta" "tr_1_126.fasta tr_2_91.fasta" "tr_1_126.fasta tr_3_1.fasta" "tr_1_126.fasta tr_3_24.fasta" "tr_1_126.fasta tr_3_30.fasta" "tr_1_126.fasta tr_3_33.fasta" "tr_1_126.fasta tr_3_43.fasta" "tr_1_126.fasta tr_3_47.fasta" "tr_1_126.fasta tr_3_69.fasta" "tr_1_126.fasta tr_3_7.fasta" "tr_1_126.fasta tr_3_71.fasta" "tr_1_126.fasta tr_4_12.fasta" "tr_1_126.fasta tr_4_23.fasta" "tr_1_126.fasta tr_4_36.fasta" "tr_1_126.fasta tr_4_44.fasta" "tr_1_126.fasta tr_4_45.fasta" "tr_1_126.fasta tr_4_66.fasta" "tr_1_126.fasta tr_4_74.fasta" "tr_1_126.fasta tr_4_78.fasta" "tr_1_126.fasta tr_4_87.fasta" "tr_1_126.fasta tr_4_92.fasta" "tr_1_126.fasta tr_4_95.fasta" "tr_1_126.fasta tr_5_13.fasta" "tr_1_126.fasta tr_5_26.fasta" "tr_1_126.fasta tr_5_29.fasta" "tr_1_126.fasta tr_5_36.fasta" "tr_1_126.fasta tr_5_46.fasta" "tr_1_126.fasta tr_5_48.fasta"
"tr_1_141.fasta" "0.0755267133101917" "0.110301163696696" "0.0924965860584472" "0.0841005782167283" "tr_1_141.fasta tr_1_141.fasta" "tr_1_141.fasta tr_1_16.fasta" "tr_1_141.fasta tr_1_2.fasta" "tr_1_141.fasta tr_1_28.fasta" "tr_1_141.fasta tr_1_29.fasta" "tr_1_141.fasta tr_1_42.fasta" "tr_1_141.fasta tr_1_7.fasta" "tr_1_141.fasta tr_1_70.fasta" "tr_1_141.fasta tr_1_82.fasta" "tr_1_141.fasta tr_2_16.fasta" "tr_1_141.fasta tr_2_20.fasta" "tr_1_141.fasta tr_2_28.fasta" "tr_1_141.fasta tr_2_3.fasta" "tr_1_141.fasta tr_2_39.fasta" "tr_1_141.fasta tr_2_5.fasta" "tr_1_141.fasta tr_2_50.fasta" "tr_1_141.fasta tr_2_75.fasta" "tr_1_141.fasta tr_2_85.fasta" "tr_1_141.fasta tr_2_90.fasta" "tr_1_141.fasta tr_2_91.fasta" "tr_1_141.fasta tr_3_1.fasta" "tr_1_141.fasta tr_3_24.fasta" "tr_1_141.fasta tr_3_30.fasta" "tr_1_141.fasta tr_3_33.fasta" "tr_1_141.fasta tr_3_43.fasta" "tr_1_141.fasta tr_3_47.fasta" "tr_1_141.fasta tr_3_69.fasta" "tr_1_141.fasta tr_3_7.fasta" "tr_1_141.fasta tr_3_71.fasta" "tr_1_141.fasta tr_4_12.fasta" "tr_1_141.fasta tr_4_23.fasta" "tr_1_141.fasta tr_4_36.fasta" "tr_1_141.fasta tr_4_44.fasta" "tr_1_141.fasta tr_4_45.fasta" "tr_1_141.fasta tr_4_66.fasta" "tr_1_141.fasta tr_4_74.fasta" "tr_1_141.fasta tr_4_78.fasta" "tr_1_141.fasta tr_4_87.fasta" "tr_1_141.fasta tr_4_92.fasta" "tr_1_141.fasta tr_4_95.fasta" "tr_1_141.fasta tr_5_13.fasta" "tr_1_141.fasta tr_5_26.fasta" "tr_1_141.fasta tr_5_29.fasta" "tr_1_141.fasta tr_5_36.fasta" "tr_1_141.fasta tr_5_46.fasta" "tr_1_141.fasta tr_5_48.fasta"
"tr_1_16.fasta" "0.0727088349557381" "0.118578004717528" "0.0950996289297661" "0.0581055879084484" "0.0808916096470036" "tr_1_16.fasta tr_1_16.fasta" "tr_1_16.fasta tr_1_2.fasta" "tr_1_16.fasta tr_1_28.fasta" "tr_1_16.fasta tr_1_29.fasta" "tr_1_16.fasta tr_1_42.fasta" "tr_1_16.fasta tr_1_7.fasta" "tr_1_16.fasta tr_1_70.fasta" "tr_1_16.fasta tr_1_82.fasta" "tr_1_16.fasta tr_2_16.fasta" "tr_1_16.fasta tr_2_20.fasta" "tr_1_16.fasta tr_2_28.fasta" "tr_1_16.fasta tr_2_3.fasta" "tr_1_16.fasta tr_2_39.fasta" "tr_1_16.fasta tr_2_5.fasta" "tr_1_16.fasta tr_2_50.fasta" "tr_1_16.fasta tr_2_75.fasta" "tr_1_16.fasta tr_2_85.fasta" "tr_1_16.fasta tr_2_90.fasta" "tr_1_16.fasta tr_2_91.fasta" "tr_1_16.fasta tr_3_1.fasta" "tr_1_16.fasta tr_3_24.fasta" "tr_1_16.fasta tr_3_30.fasta" "tr_1_16.fasta tr_3_33.fasta" "tr_1_16.fasta tr_3_43.fasta" "tr_1_16.fasta tr_3_47.fasta" "tr_1_16.fasta tr_3_69.fasta" "tr_1_16.fasta tr_3_7.fasta" "tr_1_16.fasta tr_3_71.fasta" "tr_1_16.fasta tr_4_12.fasta" "tr_1_16.fasta tr_4_23.fasta" "tr_1_16.fasta tr_4_36.fasta" "tr_1_16.fasta tr_4_44.fasta" "tr_1_16.fasta tr_4_45.fasta" "tr_1_16.fasta tr_4_66.fasta" "tr_1_16.fasta tr_4_74.fasta" "tr_1_16.fasta tr_4_78.fasta" "tr_1_16.fasta tr_4_87.fasta" "tr_1_16.fasta tr_4_92.fasta" "tr_1_16.fasta tr_4_95.fasta" "tr_1_16.fasta tr_5_13.fasta" "tr_1_16.fasta tr_5_26.fasta" "tr_1_16.fasta tr_5_29.fasta" "tr_1_16.fasta tr_5_36.fasta" "tr_1_16.fasta tr_5_46.fasta" "tr_1_16.fasta tr_5_48.fasta"
"tr_1_2.fasta" "0.0593897163766797" "0.109211567085095" "0.0678633579569161" "0.0680166637611756" "0.081386887690903" "0.0808860406912366" "tr_1_2.fasta tr_1_2.fasta" "tr_1_2.fasta tr_1_28.fasta" "tr_1_2.fasta tr_1_29.fasta" "tr_1_2.fasta tr_1_42.fasta" "tr_1_2.fasta tr_1_7.fasta" "tr_1_2.fasta tr_1_70.fasta" "tr_1_2.fasta tr_1_82.fasta" "tr_1_2.fasta tr_2_16.fasta" "tr_1_2.fasta tr_2_20.fasta" "tr_1_2.fasta tr_2_28.fasta" "tr_1_2.fasta tr_2_3.fasta" "tr_1_2.fasta tr_2_39.fasta" "tr_1_2.fasta tr_2_5.fasta" "tr_1_2.fasta tr_2_50.fasta" "tr_1_2.fasta tr_2_75.fasta" "tr_1_2.fasta tr_2_85.fasta" "tr_1_2.fasta tr_2_90.fasta" "tr_1_2.fasta tr_2_91.fasta" "tr_1_2.fasta tr_3_1.fasta" "tr_1_2.fasta tr_3_24.fasta" "tr_1_2.fasta tr_3_30.fasta" "tr_1_2.fasta tr_3_33.fasta" "tr_1_2.fasta tr_3_43.fasta" "tr_1_2.fasta tr_3_47.fasta" "tr_1_2.fasta tr_3_69.fasta" "tr_1_2.fasta tr_3_7.fasta" "tr_1_2.fasta tr_3_71.fasta" "tr_1_2.fasta tr_4_12.fasta" "tr_1_2.fasta tr_4_23.fasta" "tr_1_2.fasta tr_4_36.fasta" "tr_1_2.fasta tr_4_44.fasta" "tr_1_2.fasta tr_4_45.fasta" "tr_1_2.fasta tr_4_66.fasta" "tr_1_2.fasta tr_4_74.fasta" "tr_1_2.fasta tr_4_78.fasta" "tr_1_2.fasta tr_4_87.fasta" "tr_1_2.fasta tr_4_92.fasta" "tr_1_2.fasta tr_4_95.fasta" "tr_1_2.fasta tr_5_13.fasta" "tr_1_2.fasta tr_5_26.fasta" "tr_1_2.fasta tr_5_29.fasta" "tr_1_2.fasta tr_5_36.fasta" "tr_1_2.fasta tr_5_46.fasta" "tr_1_2.fasta tr_5_48.fasta"
"tr_1_28.fasta" "0.0725423494836113" "0.076863894518369" "0.0709869828471031" "0.0540754570044747" "0.0791082684825861" "0.074854159588876" "0.0531235217131682" "tr_1_28.fasta tr_1_28.fasta" "tr_1_28.fasta tr_1_29.fasta" "tr_1_28.fasta tr_1_42.fasta" "tr_1_28.fasta tr_1_7.fasta" "tr_1_28.fasta tr_1_70.fasta" "tr_1_28.fasta tr_1_82.fasta" "tr_1_28.fasta tr_2_16.fasta" "tr_1_28.fasta tr_2_20.fasta" "tr_1_28.fasta tr_2_28.fasta" "tr_1_28.fasta tr_2_3.fasta" "tr_1_28.fasta tr_2_39.fasta" "tr_1_28.fasta tr_2_5.fasta" "tr_1_28.fasta tr_2_50.fasta" "tr_1_28.fasta tr_2_75.fasta" "tr_1_28.fasta tr_2_85.fasta" "tr_1_28.fasta tr_2_90.fasta" "tr_1_28.fasta tr_2_91.fasta" "tr_1_28.fasta tr_3_1.fasta" "tr_1_28.fasta tr_3_24.fasta" "tr_1_28.fasta tr_3_30.fasta" "tr_1_28.fasta tr_3_33.fasta" "tr_1_28.fasta tr_3_43.fasta" "tr_1_28.fasta tr_3_47.fasta" "tr_1_28.fasta tr_3_69.fasta" "tr_1_28.fasta tr_3_7.fasta" "tr_1_28.fasta tr_3_71.fasta" "tr_1_28.fasta tr_4_12.fasta" "tr_1_28.fasta tr_4_23.fasta" "tr_1_28.fasta tr_4_36.fasta" "tr_1_28.fasta tr_4_44.fasta" "tr_1_28.fasta tr_4_45.fasta" "tr_1_28.fasta tr_4_66.fasta" "tr_1_28.fasta tr_4_74.fasta" "tr_1_28.fasta tr_4_78.fasta" "tr_1_28.fasta tr_4_87.fasta" "tr_1_28.fasta tr_4_92.fasta" "tr_1_28.fasta tr_4_95.fasta" "tr_1_28.fasta tr_5_13.fasta" "tr_1_28.fasta tr_5_26.fasta" "tr_1_28.fasta tr_5_29.fasta" "tr_1_28.fasta tr_5_36.fasta" "tr_1_28.fasta tr_5_46.fasta" "tr_1_28.fasta tr_5_48.fasta"
"tr_1_29.fasta" "0.0758003280497787" "0.151725371831213" "0.0982462460519198" "0.0902027295424836" "0.100603708182915" "0.0918845822650526" "0.094339110802198" "0.0935261158987814" "tr_1_29.fasta tr_1_29.fasta" "tr_1_29.fasta tr_1_42.fasta" "tr_1_29.fasta tr_1_7.fasta" "tr_1_29.fasta tr_1_70.fasta" "tr_1_29.fasta tr_1_82.fasta" "tr_1_29.fasta tr_2_16.fasta" "tr_1_29.fasta tr_2_20.fasta" "tr_1_29.fasta tr_2_28.fasta" "tr_1_29.fasta tr_2_3.fasta" "tr_1_29.fasta tr_2_39.fasta" "tr_1_29.fasta tr_2_5.fasta" "tr_1_29.fasta tr_2_50.fasta" "tr_1_29.fasta tr_2_75.fasta" "tr_1_29.fasta tr_2_85.fasta" "tr_1_29.fasta tr_2_90.fasta" "tr_1_29.fasta tr_2_91.fasta" "tr_1_29.fasta tr_3_1.fasta" "tr_1_29.fasta tr_3_24.fasta" "tr_1_29.fasta tr_3_30.fasta" "tr_1_29.fasta tr_3_33.fasta" "tr_1_29.fasta tr_3_43.fasta" "tr_1_29.fasta tr_3_47.fasta" "tr_1_29.fasta tr_3_69.fasta" "tr_1_29.fasta tr_3_7.fasta" "tr_1_29.fasta tr_3_71.fasta" "tr_1_29.fasta tr_4_12.fasta" "tr_1_29.fasta tr_4_23.fasta" "tr_1_29.fasta tr_4_36.fasta" "tr_1_29.fasta tr_4_44.fasta" "tr_1_29.fasta tr_4_45.fasta" "tr_1_29.fasta tr_4_66.fasta" "tr_1_29.fasta tr_4_74.fasta" "tr_1_29.fasta tr_4_78.fasta" "tr_1_29.fasta tr_4_87.fasta" "tr_1_29.fasta tr_4_92.fasta" "tr_1_29.fasta tr_4_95.fasta" "tr_1_29.fasta tr_5_13.fasta" "tr_1_29.fasta tr_5_26.fasta" "tr_1_29.fasta tr_5_29.fasta" "tr_1_29.fasta tr_5_36.fasta" "tr_1_29.fasta tr_5_46.fasta" "tr_1_29.fasta tr_5_48.fasta"
"tr_1_42.fasta" "0.0856368544098908" "0.129957367699413" "0.105046336874158" "0.0820580648883634" "0.097249172333836" "0.0786494958064546" "0.109903044326006" "0.0885925564093309" "0.0694294371894776" "tr_1_42.fasta tr_1_42.fasta" "tr_1_42.fasta tr_1_7.fasta" "tr_1_42.fasta tr_1_70.fasta" "tr_1_42.fasta tr_1_82.fasta" "tr_1_42.fasta tr_2_16.fasta" "tr_1_42.fasta tr_2_20.fasta" "tr_1_42.fasta tr_2_28.fasta" "tr_1_42.fasta tr_2_3.fasta" "tr_1_42.fasta tr_2_39.fasta" "tr_1_42.fasta tr_2_5.fasta" "tr_1_42.fasta tr_2_50.fasta" "tr_1_42.fasta tr_2_75.fasta" "tr_1_42.fasta tr_2_85.fasta" "tr_1_42.fasta tr_2_90.fasta" "tr_1_42.fasta tr_2_91.fasta" "tr_1_42.fasta tr_3_1.fasta" "tr_1_42.fasta tr_3_24.fasta" "tr_1_42.fasta tr_3_30.fasta" "tr_1_42.fasta tr_3_33.fasta" "tr_1_42.fasta tr_3_43.fasta" "tr_1_42.fasta tr_3_47.fasta" "tr_1_42.fasta tr_3_69.fasta" "tr_1_42.fasta tr_3_7.fasta" "tr_1_42.fasta tr_3_71.fasta" "tr_1_42.fasta tr_4_12.fasta" "tr_1_42.fasta tr_4_23.fasta" "tr_1_42.fasta tr_4_36.fasta" "tr_1_42.fasta tr_4_44.fasta" "tr_1_42.fasta tr_4_45.fasta" "tr_1_42.fasta tr_4_66.fasta" "tr_1_42.fasta tr_4_74.fasta" "tr_1_42.fasta tr_4_78.fasta" "tr_1_42.fasta tr_4_87.fasta" "tr_1_42.fasta tr_4_92.fasta" "tr_1_42.fasta tr_4_95.fasta" "tr_1_42.fasta tr_5_13.fasta" "tr_1_42.fasta tr_5_26.fasta" "tr_1_42.fasta tr_5_29.fasta" "tr_1_42.fasta tr_5_36.fasta" "tr_1_42.fasta tr_5_46.fasta" "tr_1_42.fasta tr_5_48.fasta"
