"tr_5_1.fasta" "tr_5_10.fasta" "tr_5_11.fasta" "tr_5_12.fasta" "tr_5_13.fasta" "tr_5_14.fasta" "tr_5_15.fasta" "tr_5_16.fasta" "tr_5_17.fasta" "tr_5_18.fasta" "tr_5_19.fasta" "tr_5_2.fasta" "tr_5_20.fasta" "tr_5_21.fasta" "tr_5_22.fasta" "tr_5_23.fasta" "tr_5_24.fasta" "tr_5_25.fasta" "tr_5_26.fasta" "tr_5_27.fasta" "tr_5_28.fasta" "tr_5_29.fasta" "tr_5_3.fasta" "tr_5_30.fasta" "tr_5_31.fasta" "tr_5_32.fasta" "tr_5_33.fasta" "tr_5_34.fasta" "tr_5_35.fasta" "tr_5_36.fasta" "tr_5_37.fasta" "tr_5_38.fasta" "tr_5_39.fasta" "tr_5_4.fasta" "tr_5_40.fasta" "tr_5_41.fasta" "tr_5_42.fasta" "tr_5_43.fasta" "tr_5_44.fasta" "tr_5_45.fasta" "tr_5_46.fasta" "tr_5_47.fasta" "tr_5_48.fasta" "tr_5_49.fasta" "tr_5_5.fasta" "tr_5_50.fasta" "tr_5_6.fasta" "tr_5_7.fasta" "tr_5_8.fasta" "tr_5_9.fasta"
"tr_5_1.fasta" "tr_5_1.fasta tr_5_1.fasta" "tr_5_1.fasta tr_5_10.fasta" "tr_5_1.fasta tr_5_11.fasta" "tr_5_1.fasta tr_5_12.fasta" "tr_5_1.fasta tr_5_13.fasta" "tr_5_1.fasta tr_5_14.fasta" "tr_5_1.fasta tr_5_15.fasta" "tr_5_1.fasta tr_5_16.fasta" "tr_5_1.fasta tr_5_17.fasta" "tr_5_1.fasta tr_5_18.fasta" "tr_5_1.fasta tr_5_19.fasta" "tr_5_1.fasta tr_5_2.fasta" "tr_5_1.fasta tr_5_20.fasta" "tr_5_1.fasta tr_5_21.fasta" "tr_5_1.fasta tr_5_22.fasta" "tr_5_1.fasta tr_5_23.fasta" "tr_5_1.fasta tr_5_24.fasta" "tr_5_1.fasta tr_5_25.fasta" "tr_5_1.fasta tr_5_26.fasta" "tr_5_1.fasta tr_5_27.fasta" "tr_5_1.fasta tr_5_28.fasta" "tr_5_1.fasta tr_5_29.fasta" "tr_5_1.fasta tr_5_3.fasta" "tr_5_1.fasta tr_5_30.fasta" "tr_5_1.fasta tr_5_31.fasta" "tr_5_1.fasta tr_5_32.fasta" "tr_5_1.fasta tr_5_33.fasta" "tr_5_1.fasta tr_5_34.fasta" "tr_5_1.fasta tr_5_35.fasta" "tr_5_1.fasta tr_5_36.fasta" "tr_5_1.fasta tr_5_37.fasta" "tr_5_1.fasta tr_5_38.fasta" "tr_5_1.fasta tr_5_39.fasta" "tr_5_1.fasta tr_5_4.fasta" "tr_5_1.fasta tr_5_40.fasta" "tr_5_1.fasta tr_5_41.fasta" "tr_5_1.fasta tr_5_42.fasta" "tr_5_1.fasta tr_5_43.fasta" "tr_5_1.fasta tr_5_44.fasta" "tr_5_1.fasta tr_5_45.fasta" "tr_5_1.fasta tr_5_46.fasta" "tr_5_1.fasta tr_5_47.fasta" "tr_5_1.fasta tr_5_48.fasta" "tr_5_1.fasta tr_5_49.fasta" "tr_5_1.fasta tr_5_5.fasta" "tr_5_1.fasta tr_5_50.fasta" "tr_5_1.fasta tr_5_6.fasta" "tr_5_1.fasta tr_5_7.fasta" "tr_5_1.fasta tr_5_8.fasta" "tr_5_1.fasta tr_5_9.fasta"
"tr_5_10.fasta" "0.047906990687797" "tr_5_10.fasta tr_5_10.fasta" "tr_5_10.fasta tr_5_11.fasta" "tr_5_10.fasta tr_5_12.fasta" "tr_5_10.fasta tr_5_13.fasta" "tr_5_10.fasta tr_5_14.fasta" "tr_5_10.fasta tr_5_15.fasta" "tr_5_10.fasta tr_5_16.fasta" "tr_5_10.fasta tr_5_17.fasta" "tr_5_10.fasta tr_5_18.fasta" "tr_5_10.fasta tr_5_19.fasta" "tr_5_10.fasta tr_5_2.fasta" "tr_5_10.fasta tr_5_20.fasta" "tr_5_10.fasta tr_5_21.fasta" "tr_5_10.fasta tr_5_22.fasta" "tr_5_10.fasta tr_5_23.fasta" "tr_5_10.fasta tr_5_24.fasta" "tr_5_10.fasta tr_5_25.fasta" "tr_5_10.fasta tr_5_26.fasta" "tr_5_10.fasta tr_5_27.fasta" "tr_5_10.fasta tr_5_28.fasta" "tr_5_10.fasta tr_5_29.fasta" "tr_5_10.fasta tr_5_3.fasta" "tr_5_10.fasta tr_5_30.fasta" "tr_5_10.fasta tr_5_31.fasta" "tr_5_10.fasta tr_5_32.fasta" "tr_5_10.fasta tr_5_33.fasta" "tr_5_10.fasta tr_5_34.fasta" "tr_5_10.fasta tr_5_35.fasta" "tr_5_10.fasta tr_5_36.fasta" "tr_5_10.fasta tr_5_37.fasta" "tr_5_10.fasta tr_5_38.fasta" "tr_5_10.fasta tr_5_39.fasta" "tr_5_10.fasta tr_5_4.fasta" "tr_5_10.fasta tr_5_40.fasta" "tr_5_10.fasta tr_5_41.fasta" "tr_5_10.fasta tr_5_42.fasta" "tr_5_10.fasta tr_5_43.fasta" "tr_5_10.fasta tr_5_44.fasta" "tr_5_10.fasta tr_5_45.fasta" "tr_5_10.fasta tr_5_46.fasta" "tr_5_10.fasta tr_5_47.fasta" "tr_5_10.fasta tr_5_48.fasta" "tr_5_10.fasta tr_5_49.fasta" "tr_5_10.fasta tr_5_5.fasta" "tr_5_10.fasta tr_5_50.fasta" "tr_5_10.fasta tr_5_6.fasta" "tr_5_10.fasta tr_5_7.fasta" "tr_5_10.fasta tr_5_8.fasta" "tr_5_10.fasta tr_5_9.fasta"
"tr_5_11.fasta" "0.0426608418455092" "0.0376053441824846" "tr_5_11.fasta tr_5_11.fasta" "tr_5_11.fasta tr_5_12.fasta" "tr_5_11.fasta tr_5_13.fasta" "tr_5_11.fasta tr_5_14.fasta" "tr_5_11.fasta tr_5_15.fasta" "tr_5_11.fasta tr_5_16.fasta" "tr_5_11.fasta tr_5_17.fasta" "tr_5_11.fasta tr_5_18.fasta" "tr_5_11.fasta tr_5_19.fasta" "tr_5_11.fasta tr_5_2.fasta" "tr_5_11.fasta tr_5_20.fasta" "tr_5_11.fasta tr_5_21.fasta" "tr_5_11.fasta tr_5_22.fasta" "tr_5_11.fasta tr_5_23.fasta" "tr_5_11.fasta tr_5_24.fasta" "tr_5_11.fasta tr_5_25.fasta" "tr_5_11.fasta tr_5_26.fasta" "tr_5_11.fasta tr_5_27.fasta" "tr_5_11.fasta tr_5_28.fasta" "tr_5_11.fasta tr_5_29.fasta" "tr_5_11.fasta tr_5_3.fasta" "tr_5_11.fasta tr_5_30.fasta" "tr_5_11.fasta tr_5_31.fasta" "tr_5_11.fasta tr_5_32.fasta" "tr_5_11.fasta tr_5_33.fasta" "tr_5_11.fasta tr_5_34.fasta" "tr_5_11.fasta tr_5_35.fasta" "tr_5_11.fasta tr_5_36.fasta" "tr_5_11.fasta tr_5_37.fasta" "tr_5_11.fasta tr_5_38.fasta" "tr_5_11.fasta tr_5_39.fasta" "tr_5_11.fasta tr_5_4.fasta" "tr_5_11.fasta tr_5_40.fasta" "tr_5_11.fasta tr_5_41.fasta" "tr_5_11.fasta tr_5_42.fasta" "tr_5_11.fasta tr_5_43.fasta" "tr_5_11.fasta tr_5_44.fasta" "tr_5_11.fasta tr_5_45.fasta" "tr_5_11.fasta tr_5_46.fasta" "tr_5_11.fasta tr_5_47.fasta" "tr_5_11.fasta tr_5_48.fasta" "tr_5_11.fasta tr_5_49.fasta" "tr_5_11.fasta tr_5_5.fasta" "tr_5_11.fasta tr_5_50.fasta" "tr_5_11.fasta tr_5_6.fasta" "tr_5_11.fasta tr_5_7.fasta" "tr_5_11.fasta tr_5_8.fasta" "tr_5_11.fasta tr_5_9.fasta"
"tr_5_12.fasta" "0.0480198344138632" "0.0484506689109753" "0.0418456127997883" "tr_5_12.fasta tr_5_12.fasta" "tr_5_12.fasta tr_5_13.fasta" "tr_5_12.fasta tr_5_14.fasta" "tr_5_12.fasta tr_5_15.fasta" "tr_5_12.fasta tr_5_16.fasta" "tr_5_12.fasta tr_5_17.fasta" "tr_5_12.fasta tr_5_18.fasta" "tr_5_12.fasta tr_5_19.fasta" "tr_5_12.fasta tr_5_2.fasta" "tr_5_12.fasta tr_5_20.fasta" "tr_5_12.fasta tr_5_21.fasta" "tr_5_12.fasta tr_5_22.fasta" "tr_5_12.fasta tr_5_23.fasta" "tr_5_12.fasta tr_5_24.fasta" "tr_5_12.fasta tr_5_25.fasta" "tr_5_12.fasta tr_5_26.fasta" "tr_5_12.fasta tr_5_27.fasta" "tr_5_12.fasta tr_5_28.fasta" "tr_5_12.fasta tr_5_29.fasta" "tr_5_12.fasta tr_5_3.fasta" "tr_5_12.fasta tr_5_30.fasta" "tr_5_12.fasta tr_5_31.fasta" "tr_5_12.fasta tr_5_32.fasta" "tr_5_12.fasta tr_5_33.fasta" "tr_5_12.fasta tr_5_34.fasta" "tr_5_12.fasta tr_5_35.fasta" "tr_5_12.fasta tr_5_36.fasta" "tr_5_12.fasta tr_5_37.fasta" "tr_5_12.fasta tr_5_38.fasta" "tr_5_12.fasta tr_5_39.fasta" "tr_5_12.fasta tr_5_4.fasta" "tr_5_12.fasta tr_5_40.fasta" "tr_5_12.fasta tr_5_41.fasta" "tr_5_12.fasta tr_5_42.fasta" "tr_5_12.fasta tr_5_43.fasta" "tr_5_12.fasta tr_5_44.fasta" "tr_5_12.fasta tr_5_45.fasta" "tr_5_12.fasta tr_5_46.fasta" "tr_5_12.fasta tr_5_47.fasta" "tr_5_12.fasta tr_5_48.fasta" "tr_5_12.fasta tr_5_49.fasta" "tr_5_12.fasta tr_5_5.fasta" "tr_5_12.fasta tr_5_50.fasta" "tr_5_12.fasta tr_5_6.fasta" "tr_5_12.fasta tr_5_7.fasta" "tr_5_12.fasta tr_5_8.fasta" "tr_5_12.fasta tr_5_9.fasta"
"tr_5_13.fasta" "0.0503727185697094" "0.0480310705702969" "0.05419235433444" "0.0476863118332773" "tr_5_13.fasta tr_5_13.fasta" "tr_5_13.fasta tr_5_14.fasta" "tr_5_13.fasta tr_5_15.fasta" "tr_5_13.fasta tr_5_16.fasta" "tr_5_13.fasta tr_5_17.fasta" "tr_5_13.fasta tr_5_18.fasta" "tr_5_13.fasta tr_5_19.fasta" "tr_5_13.fasta tr_5_2.fasta" "tr_5_13.fasta tr_5_20.fasta" "tr_5_13.fasta tr_5_21.fasta" "tr_5_13.fasta tr_5_22.fasta" "tr_5_13.fasta tr_5_23.fasta" "tr_5_13.fasta tr_5_24.fasta" "tr_5_13.fasta tr_5_25.fasta" "tr_5_13.fasta tr_5_26.fasta" "tr_5_13.fasta tr_5_27.fasta" "tr_5_13.fasta tr_5_28.fasta" "tr_5_13.fasta tr_5_29.fasta" "tr_5_13.fasta tr_5_3.fasta" "tr_5_13.fasta tr_5_30.fasta" "tr_5_13.fasta tr_5_31.fasta" "tr_5_13.fasta tr_5_32.fasta" "tr_5_13.fasta tr_5_33.fasta" "tr_5_13.fasta tr_5_34.fasta" "tr_5_13.fasta tr_5_35.fasta" "tr_5_13.fasta tr_5_36.fasta" "tr_5_13.fasta tr_5_37.fasta" "tr_5_13.fasta tr_5_38.fasta" "tr_5_13.fasta tr_5_39.fasta" "tr_5_13.fasta tr_5_4.fasta" "tr_5_13.fasta tr_5_40.fasta" "tr_5_13.fasta tr_5_41.fasta" "tr_5_13.fasta tr_5_42.fasta" "tr_5_13.fasta tr_5_43.fasta" "tr_5_13.fasta tr_5_44.fasta" "tr_5_13.fasta tr_5_45.fasta" "tr_5_13.fasta tr_5_46.fasta" "tr_5_13.fasta tr_5_47.fasta" "tr_5_13.fasta tr_5_48.fasta" "tr_5_13.fasta tr_5_49.fasta" "tr_5_13.fasta tr_5_5.fasta" "tr_5_13.fasta tr_5_50.fasta" "tr_5_13.fasta tr_5_6.fasta" "tr_5_13.fasta tr_5_7.fasta" "tr_5_13.fasta tr_5_8.fasta" "tr_5_13.fasta tr_5_9.fasta"
"tr_5_14.fasta" "0.0487092433460103" "0.070402106689747" "0.050206356281908" "0.0589148264770146" "0.0767357178007114" "tr_5_14.fasta tr_5_14.fasta" "tr_5_14.fasta tr_5_15.fasta" "tr_5_14.fasta tr_5_16.fasta" "tr_5_14.fasta tr_5_17.fasta" "tr_5_14.fasta tr_5_18.fasta" "tr_5_14.fasta tr_5_19.fasta" "tr_5_14.fasta tr_5_2.fasta" "tr_5_14.fasta tr_5_20.fasta" "tr_5_14.fasta tr_5_21.fasta" "tr_5_14.fasta tr_5_22.fasta" "tr_5_14.fasta tr_5_23.fasta" "tr_5_14.fasta tr_5_24.fasta" "tr_5_14.fasta tr_5_25.fasta" "tr_5_14.fasta tr_5_26.fasta" "tr_5_14.fasta tr_5_27.fasta" "tr_5_14.fasta tr_5_28.fasta" "tr_5_14.fasta tr_5_29.fasta" "tr_5_14.fasta tr_5_3.fasta" "tr_5_14.fasta tr_5_30.fasta" "tr_5_14.fasta tr_5_31.fasta" "tr_5_14.fasta tr_5_32.fasta" "tr_5_14.fasta tr_5_33.fasta" "tr_5_14.fasta tr_5_34.fasta" "tr_5_14.fasta tr_5_35.fasta" "tr_5_14.fasta tr_5_36.fasta" "tr_5_14.fasta tr_5_37.fasta" "tr_5_14.fasta tr_5_38.fasta" "tr_5_14.fasta tr_5_39.fasta" "tr_5_14.fasta tr_5_4.fasta" "tr_5_14.fasta tr_5_40.fasta" "tr_5_14.fasta tr_5_41.fasta" "tr_5_14.fasta tr_5_42.fasta" "tr_5_14.fasta tr_5_43.fasta" "tr_5_14.fasta tr_5_44.fasta" "tr_5_14.fasta tr_5_45.fasta" "tr_5_14.fasta tr_5_46.fasta" "tr_5_14.fasta tr_5_47.fasta" "tr_5_14.fasta tr_5_48.fasta" "tr_5_14.fasta tr_5_49.fasta" "tr_5_14.fasta tr_5_5.fasta" "tr_5_14.fasta tr_5_50.fasta" "tr_5_14.fasta tr_5_6.fasta" "tr_5_14.fasta tr_5_7.fasta" "tr_5_14.fasta tr_5_8.fasta" "tr_5_14.fasta tr_5_9.fasta"
"tr_5_15.fasta" "0.0598769809443583" "0.0364232587205176" "0.0370299827014839" "0.0480627148765118" "0.0637867700304942" "0.0740482108841742" "tr_5_15.fasta tr_5_15.fasta" "tr_5_15.fasta tr_5_16.fasta" "tr_5_15.fasta tr_5_17.fasta" "tr_5_15.fasta tr_5_18.fasta" "tr_5_15.fasta tr_5_19.fasta" "tr_5_15.fasta tr_5_2.fasta" "tr_5_15.fasta tr_5_20.fasta" "tr_5_15.fasta tr_5_21.fasta" "tr_5_15.fasta tr_5_22.fasta" "tr_5_15.fasta tr_5_23.fasta" "tr_5_15.fasta tr_5_24.fasta" "tr_5_15.fasta tr_5_25.fasta" "tr_5_15.fasta tr_5_26.fasta" "tr_5_15.fasta tr_5_27.fasta" "tr_5_15.fasta tr_5_28.fasta" "tr_5_15.fasta tr_5_29.fasta" "tr_5_15.fasta tr_5_3.fasta" "tr_5_15.fasta tr_5_30.fasta" "tr_5_15.fasta tr_5_31.fasta" "tr_5_15.fasta tr_5_32.fasta" "tr_5_15.fasta tr_5_33.fasta" "tr_5_15.fasta tr_5_34.fasta" "tr_5_15.fasta tr_5_35.fasta" "tr_5_15.fasta tr_5_36.fasta" "tr_5_15.fasta tr_5_37.fasta" "tr_5_15.fasta tr_5_38.fasta" "tr_5_15.fasta tr_5_39.fasta" "tr_5_15.fasta tr_5_4.fasta" "tr_5_15.fasta tr_5_40.fasta" "tr_5_15.fasta tr_5_41.fasta" "tr_5_15.fasta tr_5_42.fasta" "tr_5_15.fasta tr_5_43.fasta" "tr_5_15.fasta tr_5_44.fasta" "tr_5_15.fasta tr_5_45.fasta" "tr_5_15.fasta tr_5_46.fasta" "tr_5_15.fasta tr_5_47.fasta" "tr_5_15.fasta tr_5_48.fasta" "tr_5_15.fasta tr_5_49.fasta" "tr_5_15.fasta tr_5_5.fasta" "tr_5_15.fasta tr_5_50.fasta" "tr_5_15.fasta tr_5_6.fasta" "tr_5_15.fasta tr_5_7.fasta" "tr_5_15.fasta tr_5_8.fasta" "tr_5_15.fasta tr_5_9.fasta"
"tr_5_16.fasta" "0.0253065564265115" "0.0460850544491009" "0.0433163371618502" "0.0444069575410964" "0.0367839427230501" "0.0570952403916161" "0.058726056499057" "tr_5_16.fasta tr_5_16.fasta" "tr_5_16.fasta tr_5_17.fasta" "tr_5_16.fasta tr_5_18.fasta" "tr_5_16.fasta tr_5_19.fasta" "tr_5_16.fasta tr_5_2.fasta" "tr_5_16.fasta tr_5_20.fasta" "tr_5_16.fasta tr_5_21.fasta" "tr_5_16.fasta tr_5_22.fasta" "tr_5_16.fasta tr_5_23.fasta" "tr_5_16.fasta tr_5_24.fasta" "tr_5_16.fasta tr_5_25.fasta" "tr_5_16.fasta tr_5_26.fasta" "tr_5_16.fasta tr_5_27.fasta" "tr_5_16.fasta tr_5_28.fasta" "tr_5_16.fasta tr_5_29.fasta" "tr_5_16.fasta tr_5_3.fasta" "tr_5_16.fasta tr_5_30.fasta" "tr_5_16.fasta tr_5_31.fasta" "tr_5_16.fasta tr_5_32.fasta" "tr_5_16.fasta tr_5_33.fasta" "tr_5_16.fasta tr_5_34.fasta" "tr_5_16.fasta tr_5_35.fasta" "tr_5_16.fasta tr_5_36.fasta" "tr_5_16.fasta tr_5_37.fasta" "tr_5_16.fasta tr_5_38.fasta" "tr_5_16.fasta tr_5_39.fasta" "tr_5_16.fasta tr_5_4.fasta" "tr_5_16.fasta tr_5_40.fasta" "tr_5_16.fasta tr_5_41.fasta" "tr_5_16.fasta tr_5_42.fasta" "tr_5_16.fasta tr_5_43.fasta" "tr_5_16.fasta tr_5_44.fasta" "tr_5_16.fasta tr_5_45.fasta" "tr_5_16.fasta tr_5_46.fasta" "tr_5_16.fasta tr_5_47.fasta" "tr_5_16.fasta tr_5_48.fasta" "tr_5_16.fasta tr_5_49.fasta" "tr_5_16.fasta tr_5_5.fasta" "tr_5_16.fasta tr_5_50.fasta" "tr_5_16.fasta tr_5_6.fasta" "tr_5_16.fasta tr_5_7.fasta" "tr_5_16.fasta tr_5_8.fasta" "tr_5_16.fasta tr_5_9.fasta"
"tr_5_17.fasta" "0.0565401451866694" "0.0442348296387056" "0.0264734700555435" "0.0454381420273514" "0.0590250989771945" "0.0633497591835309" "0.0370943075030478" "0.0532477775634449" "tr_5_17.fasta tr_5_17.fasta" "tr_5_17.fasta tr_5_18.fasta" "tr_5_17.fasta tr_5_19.fasta" "tr_5_17.fasta tr_5_2.fasta" "tr_5_17.fasta tr_5_20.fasta" "tr_5_17.fasta tr_5_21.fasta" "tr_5_17.fasta tr_5_22.fasta" "tr_5_17.fasta tr_5_23.fasta" "tr_5_17.fasta tr_5_24.fasta" "tr_5_17.fasta tr_5_25.fasta" "tr_5_17.fasta tr_5_26.fasta" "tr_5_17.fasta tr_5_27.fasta" "tr_5_17.fasta tr_5_28.fasta" "tr_5_17.fasta tr_5_29.fasta" "tr_5_17.fasta tr_5_3.fasta" "tr_5_17.fasta tr_5_30.fasta" "tr_5_17.fasta tr_5_31.fasta" "tr_5_17.fasta tr_5_32.fasta" "tr_5_17.fasta tr_5_33.fasta" "tr_5_17.fasta tr_5_34.fasta" "tr_5_17.fasta tr_5_35.fasta" "tr_5_17.fasta tr_5_36.fasta" "tr_5_17.fasta tr_5_37.fasta" "tr_5_17.fasta tr_5_38.fasta" "tr_5_17.fasta tr_5_39.fasta" "tr_5_17.fasta tr_5_4.fasta" "tr_5_17.fasta tr_5_40.fasta" "tr_5_17.fasta tr_5_41.fasta" "tr_5_17.fasta tr_5_42.fasta" "tr_5_17.fasta tr_5_43.fasta" "tr_5_17.fasta tr_5_44.fasta" "tr_5_17.fasta tr_5_45.fasta" "tr_5_17.fasta tr_5_46.fasta" "tr_5_17.fasta tr_5_47.fasta" "tr_5_17.fasta tr_5_48.fasta" "tr_5_17.fasta tr_5_49.fasta" "tr_5_17.fasta tr_5_5.fasta" "tr_5_17.fasta tr_5_50.fasta" "tr_5_17.fasta tr_5_6.fasta" "tr_5_17.fasta tr_5_7.fasta" "tr_5_17.fasta tr_5_8.fasta" "tr_5_17.fasta tr_5_9.fasta"
"tr_5_18.fasta" "0.0379327491284754" "0.039824054995225" "0.026239858115418" "0.0378113600313047" "0.0557777471524995" "0.0544872973462068" "0.0394981957367623" "0.0437607379065095" "0.03866534719016" "tr_5_18.fasta tr_5_18.fasta" "tr_5_18.fasta tr_5_19.fasta" "tr_5_18.fasta tr_5_2.fasta" "tr_5_18.fasta tr_5_20.fasta" "tr_5_18.fasta tr_5_21.fasta" "tr_5_18.fasta tr_5_22.fasta" "tr_5_18.fasta tr_5_23.fasta" "tr_5_18.fasta tr_5_24.fasta" "tr_5_18.fasta tr_5_25.fasta" "tr_5_18.fasta tr_5_26.fasta" "tr_5_18.fasta tr_5_27.fasta" "tr_5_18.fasta tr_5_28.fasta" "tr_5_18.fasta tr_5_29.fasta" "tr_5_18.fasta tr_5_3.fasta" "tr_5_18.fasta tr_5_30.fasta" "tr_5_18.fasta tr_5_31.fasta" "tr_5_18.fasta tr_5_32.fasta" "tr_5_18.fasta tr_5_33.fasta" "tr_5_18.fasta tr_5_34.fasta" "tr_5_18.fasta tr_5_35.fasta" "tr_5_18.fasta tr_5_36.fasta" "tr_5_18.fasta tr_5_37.fasta" "tr_5_18.fasta tr_5_38.fasta" "tr_5_18.fasta tr_5_39.fasta" "tr_5_18.fasta tr_5_4.fasta" "tr_5_18.fasta tr_5_40.fasta" "tr_5_18.fasta tr_5_41.fasta" "tr_5_18.fasta tr_5_42.fasta" "tr_5_18.fasta tr_5_43.fasta" "tr_5_18.fasta tr_5_44.fasta" "tr_5_18.fasta tr_5_45.fasta" "tr_5_18.fasta tr_5_46.fasta" "tr_5_18.fasta tr_5_47.fasta" "tr_5_18.fasta tr_5_48.fasta" "tr_5_18.fasta tr_5_49.fasta" "tr_5_18.fasta tr_5_5.fasta" "tr_5_18.fasta tr_5_50.fasta" "tr_5_18.fasta tr_5_6.fasta" "tr_5_18.fasta tr_5_7.fasta" "tr_5_18.fasta tr_5_8.fasta" "tr_5_18.fasta tr_5_9.fasta"
