"V1" "V2"
"tr_1_1.fasta" -10.7404130840569 -1.10798502801507
"tr_1_10.fasta" -9.15107167352427 -1.70971740034826
"tr_1_100.fasta" -9.15040233531112 -4.08165737970483
"tr_1_101.fasta" -9.71830609272316 1.39186772574952
"tr_1_102.fasta" -9.62748793352039 -1.92056110774689
"tr_1_103.fasta" -9.62748793352039 -1.92056110774687
"tr_1_104.fasta" -7.95126049331504 1.40135728323993
"tr_1_105.fasta" -10.3522583271738 -0.0778832539157508
"tr_1_106.fasta" -7.848504754426 1.31703820286074
"tr_1_107.fasta" -8.80180391577604 -3.97964201458135
"tr_1_108.fasta" -9.34251079723714 -1.78218685738427
"tr_1_109.fasta" -10.7864107996644 -0.990934435755925
"tr_1_11.fasta" -10.7404130840569 -1.10798502801507
"tr_1_110.fasta" -9.01409980234894 -0.421153151975763
"tr_1_111.fasta" -10.7864107996644 -0.990934435755924
"tr_1_112.fasta" -9.59622300874735 -1.90191709034109
"tr_1_113.fasta" -10.4885557420507 -1.0164763939627
"tr_1_114.fasta" -9.34251079723715 -1.78218685738427
"tr_1_115.fasta" -9.62748793352039 -1.92056110774688
"tr_1_116.fasta" -9.59924547847357 1.36372533003269
"tr_1_117.fasta" -8.31481654594043 0.50159418171516
"tr_1_118.fasta" -10.7864107996644 -0.990934435755924
"tr_1_119.fasta" -9.39589931287075 -0.63345318950718
"tr_1_12.fasta" -10.9955162581648 -1.25305121047537
"tr_1_120.fasta" -9.162178207827 -0.564348710750973
"tr_1_121.fasta" -9.62748793352039 -1.92056110774688
"tr_1_122.fasta" -8.83879706251646 1.81915781805495
"tr_1_123.fasta" -10.9955162581648 -1.25305121047537
"tr_1_124.fasta" -10.0400529465281 -0.582480954083098
"tr_1_125.fasta" -11.0218784222837 -1.06425129442476
"tr_1_126.fasta" -10.7864107996644 -0.990934435755923
"tr_1_127.fasta" -9.06565043620699 2.31152694466097
"tr_1_128.fasta" -9.59622300874735 -1.90191709034109
"tr_1_129.fasta" -10.6236151481736 -1.10922460695833
"tr_1_13.fasta" -10.694254515557 -1.14523294145716
"tr_1_130.fasta" -7.82130983052379 -1.33389908936489
"tr_1_131.fasta" -9.62748793352039 -1.92056110774687
"tr_1_132.fasta" -8.66054844083729 -1.5639250258056
"tr_1_133.fasta" -8.96742996549942 -1.01110525839301
"tr_1_134.fasta" -5.37435283892535 -2.46467166009727
"tr_1_135.fasta" -10.931541721486 -1.22177733270702
"tr_1_136.fasta" -10.7208651860384 -0.958469313445185
"tr_1_137.fasta" -10.5302246963417 -0.0731334272529901
"tr_1_138.fasta" -10.0400529465281 -0.582480954083099
"tr_1_139.fasta" -10.7864107996644 -0.990934435755922
"tr_1_14.fasta" -8.95402860649097 0.382930377068909
"tr_1_140.fasta" -10.402879445273 0.542343354657701
"tr_1_141.fasta" -8.85049292789099 -1.73272729887063
"tr_1_142.fasta" -9.162178207827 -0.564348710750973
"tr_1_143.fasta" -10.7404130840569 -1.10798502801506
"tr_1_144.fasta" -9.62748793352039 -1.92056110774688
"tr_1_145.fasta" -10.7404130840569 -1.10798502801506
"tr_1_146.fasta" -8.31481654594043 0.50159418171516
"tr_1_147.fasta" -10.958553109166 -1.22082873444291
"tr_1_148.fasta" -10.7404130840569 -1.10798502801506
"tr_1_149.fasta" -9.25706678361881 -1.72706814199557
"tr_1_15.fasta" -9.38694236667107 -1.83778270276581
"tr_1_150.fasta" -8.96742996549942 -1.01110525839301
"tr_1_16.fasta" -11.2948925061105 -3.37244104180471
"tr_1_17.fasta" -9.34251079723715 -1.78218685738427
