"V1" "V2"
"tr_1_pm_1_1.fasta" "219"
"tr_1_pm_1_2.fasta" "174"
"tr_1_pm_1_3.fasta" "171"
"tr_1_pm_1_4.fasta" "211"
"tr_1_pm_1_5.fasta" "204"
"tr_1_pm_1_6.fasta" "176"
"tr_1_pm_1_7.fasta" "186"
"tr_1_pm_1_8.fasta" "204"
"tr_1_pm_1_9.fasta" "175"
"tr_1_pm_1_10.fasta" "171"
"tr_1_pm_1_11.fasta" "176"
"tr_1_pm_1_12.fasta" "190"
"tr_1_pm_1_13.fasta" "218"
"tr_1_pm_1_14.fasta" "191"
"tr_1_pm_1_15.fasta" "204"
"tr_1_pm_1_16.fasta" "220"
"tr_1_pm_1_17.fasta" "187"
"tr_1_pm_1_18.fasta" "184"
"tr_1_pm_1_19.fasta" "183"
"tr_1_pm_1_20.fasta" "195"
"tr_1_pm_1_21.fasta" "180"
"tr_1_pm_1_22.fasta" "177"
"tr_1_pm_1_23.fasta" "191"
"tr_1_pm_1_24.fasta" "195"
"tr_1_pm_1_25.fasta" "183"
"tr_1_pm_1_26.fasta" "176"
"tr_1_pm_1_27.fasta" "194"
"tr_1_pm_1_28.fasta" "184"
"tr_1_pm_1_29.fasta" "206"
"tr_1_pm_1_30.fasta" "200"
"tr_1_pm_1_31.fasta" "179"
"tr_1_pm_1_32.fasta" "193"
"tr_1_pm_1_33.fasta" "189"
"tr_1_pm_1_34.fasta" "180"
"tr_1_pm_1_35.fasta" "179"
"tr_1_pm_1_36.fasta" "192"
"tr_1_pm_1_37.fasta" "194"
"tr_1_pm_1_38.fasta" "188"
"tr_1_pm_1_39.fasta" "189"
"tr_1_pm_1_40.fasta" "191"
"tr_1_pm_1_41.fasta" "182"
"tr_1_pm_1_42.fasta" "192"
"tr_1_pm_1_43.fasta" "193"
"tr_1_pm_1_44.fasta" "189"
"tr_1_pm_1_45.fasta" "181"
"tr_1_pm_1_46.fasta" "204"
"tr_1_pm_1_47.fasta" "194"
"tr_1_pm_1_48.fasta" "196"
"tr_1_pm_1_49.fasta" "205"
"tr_1_pm_1_50.fasta" "188"
"tr_1_pm_2_1.fasta" "267"
"tr_1_pm_2_2.fasta" "261"
"tr_1_pm_2_3.fasta" "240"
"tr_1_pm_2_4.fasta" "249"
"tr_1_pm_2_5.fasta" "247"
"tr_1_pm_2_6.fasta" "269"
"tr_1_pm_2_7.fasta" "268"
"tr_1_pm_2_8.fasta" "249"
"tr_1_pm_2_9.fasta" "240"
"tr_1_pm_2_10.fasta" "255"
"tr_1_pm_2_11.fasta" "235"
"tr_1_pm_2_12.fasta" "233"
"tr_1_pm_2_13.fasta" "263"
"tr_1_pm_2_14.fasta" "235"
"tr_1_pm_2_15.fasta" "238"
"tr_1_pm_2_16.fasta" "235"
"tr_1_pm_2_17.fasta" "211"
"tr_1_pm_2_18.fasta" "240"
"tr_1_pm_2_19.fasta" "235"
"tr_1_pm_2_20.fasta" "258"
"tr_1_pm_2_21.fasta" "247"
"tr_1_pm_2_22.fasta" "256"
"tr_1_pm_2_23.fasta" "263"
"tr_1_pm_2_24.fasta" "239"
"tr_1_pm_2_25.fasta" "251"
"tr_1_pm_2_26.fasta" "238"
"tr_1_pm_2_27.fasta" "251"
"tr_1_pm_2_28.fasta" "252"
"tr_1_pm_2_29.fasta" "248"
"tr_1_pm_2_30.fasta" "254"
"tr_1_pm_2_31.fasta" "244"
"tr_1_pm_2_32.fasta" "262"
"tr_1_pm_2_33.fasta" "232"
"tr_1_pm_2_34.fasta" "246"
"tr_1_pm_2_35.fasta" "260"
"tr_1_pm_2_36.fasta" "245"
"tr_1_pm_2_37.fasta" "255"
"tr_1_pm_2_38.fasta" "223"
"tr_1_pm_2_39.fasta" "240"
"tr_1_pm_2_40.fasta" "232"
"tr_1_pm_3_1.fasta" "349"
"tr_1_pm_3_2.fasta" "343"
"tr_1_pm_3_3.fasta" "357"
"tr_1_pm_3_4.fasta" "346"
"tr_1_pm_3_5.fasta" "331"
"tr_1_pm_3_6.fasta" "320"
"tr_1_pm_3_7.fasta" "327"
"tr_1_pm_3_8.fasta" "355"
"tr_1_pm_3_9.fasta" "323"
"tr_1_pm_3_10.fasta" "346"
"tr_1_pm_3_11.fasta" "347"
"tr_1_pm_3_12.fasta" "345"
"tr_1_pm_3_13.fasta" "312"
"tr_1_pm_3_14.fasta" "330"
"tr_1_pm_3_15.fasta" "321"
"tr_1_pm_3_16.fasta" "314"
"tr_1_pm_3_17.fasta" "339"
"tr_1_pm_3_18.fasta" "316"
"tr_1_pm_3_19.fasta" "371"
"tr_1_pm_3_20.fasta" "322"
"tr_1_pm_3_21.fasta" "338"
"tr_1_pm_3_22.fasta" "336"
"tr_1_pm_3_23.fasta" "332"
"tr_1_pm_3_24.fasta" "326"
"tr_1_pm_3_25.fasta" "319"
"tr_1_pm_3_26.fasta" "366"
"tr_1_pm_3_27.fasta" "353"
"tr_1_pm_3_28.fasta" "322"
"tr_1_pm_3_29.fasta" "324"
"tr_1_pm_3_30.fasta" "330"
